study_hours,attendance,previous_marks,assignment_score,sleep_hours,internet_access,extracurricular,result
4,79,43,65,8,Yes,No,Pass
2,87,65,54,8,Yes,Yes,Pass
6,83,52,66,6,Yes,No,Pass
6,61,95,30,8,No,Yes,Pass
1,68,31,44,7,Yes,Yes,Fail
9,86,94,66,9,Yes,Yes,Pass
6,93,96,42,5,Yes,No,Pass
3,98,81,37,9,Yes,Yes,Pass
4,66,91,34,4,No,Yes,Pass
4,59,52,89,9,Yes,Yes,Pass
3,98,55,30,6,No,No,Pass
3,96,97,65,8,Yes,Yes,Pass
3,61,84,64,8,No,No,Pass
4,65,35,95,9,No,Yes,Pass
7,73,64,92,5,Yes,No,Pass
4,68,51,52,5,Yes,Yes,Pass
9,57,72,38,6,Yes,Yes,Pass
1,80,44,63,4,Yes,No,Fail
8,70,89,75,9,No,No,Pass
7,66,41,33,8,No,Yes,Pass
2,72,78,59,9,Yes,No,Pass
8,86,71,32,6,Yes,Yes,Pass
1,65,67,43,7,No,Yes,Fail
9,55,74,89,7,Yes,Yes,Pass
9,57,64,74,6,No,No,Pass
2,74,59,63,8,Yes,Yes,Fail
7,67,59,74,6,No,No,Pass
3,74,35,90,8,No,Yes,Fail
7,61,96,45,5,No,No,Pass
9,64,36,95,6,No,No,Pass
4,75,81,69,8,No,Yes,Pass
1,90,43,46,6,Yes,No,Fail
2,94,44,63,6,No,Yes,Fail
1,75,50,45,8,Yes,Yes,Fail
5,96,64,89,8,No,Yes,Pass
5,81,95,95,4,No,Yes,Pass
7,59,31,95,6,Yes,Yes,Pass
9,65,64,42,7,Yes,No,Pass
9,56,49,85,6,Yes,Yes,Pass
3,66,39,60,6,Yes,No,Fail
3,72,54,63,8,No,No,Pass
3,75,95,68,6,Yes,Yes,Pass
4,70,54,96,9,No,No,Pass
8,71,83,37,6,Yes,Yes,Pass
6,56,62,84,9,Yes,No,Pass
8,63,65,56,7,No,No,Pass
1,64,43,82,8,No,No,Fail
8,56,94,68,6,Yes,Yes,Pass
4,58,83,94,9,No,No,Pass
1,100,81,46,9,No,Yes,Pass
8,97,32,59,9,No,No,Pass
4,57,70,82,5,No,No,Pass
6,99,35,42,4,No,No,Pass
8,72,54,50,7,No,No,Pass
4,78,42,48,6,No,Yes,Fail
3,67,37,82,5,No,Yes,Fail
9,80,50,48,6,Yes,No,Pass
3,79,97,86,6,No,No,Pass
9,88,54,54,8,Yes,Yes,Pass
2,84,97,60,8,No,Yes,Pass
2,67,74,84,8,No,Yes,Pass
2,91,89,52,5,No,Yes,Pass
6,88,41,61,6,No,No,Pass
3,66,61,91,4,Yes,No,Pass
9,63,42,39,7,Yes,Yes,Pass
4,80,60,83,8,No,Yes,Pass
1,73,49,81,8,Yes,Yes,Fail
4,84,47,49,6,No,Yes,Pass
1,93,89,61,6,No,Yes,Pass
5,94,92,43,5,Yes,Yes,Pass
4,83,35,79,5,Yes,No,Pass
8,52,61,57,8,No,No,Pass
8,86,72,82,6,No,No,Pass
7,92,31,53,4,Yes,Yes,Pass
3,89,89,51,7,No,Yes,Pass
1,75,52,59,6,Yes,Yes,Fail
1,72,60,92,6,No,No,Fail
3,93,34,33,9,No,Yes,Fail
6,88,63,88,5,Yes,Yes,Pass
7,64,39,37,7,Yes,No,Pass
6,98,31,41,8,Yes,Yes,Pass
6,53,40,60,6,No,No,Pass
6,78,79,63,8,No,No,Pass
3,71,60,78,6,No,Yes,Pass
6,74,85,86,8,No,No,Pass
8,62,38,55,7,Yes,Yes,Pass
2,67,50,47,5,No,No,Fail
5,82,57,67,7,No,Yes,Pass
1,65,91,79,9,No,No,Pass
1,94,36,37,4,Yes,Yes,Fail
5,91,45,70,5,No,No,Pass
3,93,33,35,7,No,No,Fail
4,51,33,98,9,Yes,No,Fail
3,84,69,73,4,No,Yes,Pass
1,91,46,93,9,No,Yes,Fail
1,83,81,58,6,Yes,No,Pass
5,79,81,57,6,No,Yes,Pass
6,62,65,40,8,No,No,Pass
3,62,67,94,5,No,Yes,Pass
9,67,79,48,6,Yes,No,Pass
5,81,92,38,9,No,Yes,Pass
8,81,92,56,5,No,No,Pass
1,84,91,63,6,Yes,No,Pass
5,88,36,73,8,Yes,No,Pass
3,95,56,97,7,No,No,Pass
1,78,43,44,8,No,Yes,Fail
4,98,100,80,4,No,No,Pass
5,78,34,42,6,No,Yes,Pass
7,93,84,78,4,Yes,Yes,Pass
1,65,31,99,4,No,No,Fail
3,93,91,85,9,Yes,Yes,Pass
2,96,50,80,5,Yes,Yes,Pass
9,59,50,66,9,No,Yes,Pass
6,79,39,46,6,No,No,Pass
3,74,87,87,4,Yes,Yes,Pass
8,88,68,58,7,Yes,Yes,Pass
8,69,34,62,4,No,No,Pass
2,54,94,89,7,Yes,No,Pass
6,50,42,84,9,No,Yes,Pass
7,79,82,39,9,No,No,Pass
2,98,74,76,5,Yes,Yes,Pass
2,52,61,52,4,Yes,Yes,Fail
1,94,65,50,8,No,Yes,Fail
8,63,89,42,9,Yes,No,Pass
1,79,40,62,9,No,Yes,Fail
9,99,92,53,5,No,No,Pass
6,53,50,40,7,No,No,Pass
7,67,81,46,5,Yes,Yes,Pass
7,86,84,97,4,No,No,Pass
3,74,55,76,6,No,No,Pass
2,97,97,54,6,No,No,Pass
9,50,63,50,7,No,No,Pass
8,95,81,41,9,No,No,Pass
7,64,81,66,7,No,Yes,Pass
9,58,58,71,9,No,No,Pass
4,64,67,46,9,No,Yes,Pass
4,98,71,77,6,No,Yes,Pass
1,73,50,57,7,No,Yes,Fail
8,53,71,70,5,No,Yes,Pass
3,61,42,76,9,Yes,Yes,Fail
7,86,93,47,8,No,Yes,Pass
2,86,46,100,8,No,No,Pass
2,92,38,42,5,No,No,Fail
7,55,70,42,8,Yes,No,Pass
6,88,30,60,4,No,Yes,Pass
3,95,31,31,9,Yes,No,Fail
9,73,89,45,5,No,No,Pass
6,60,77,38,7,No,No,Pass
6,62,58,67,9,Yes,Yes,Pass
1,83,39,83,5,No,No,Fail
4,74,87,85,6,Yes,Yes,Pass
6,56,89,74,7,Yes,No,Pass
6,53,50,63,6,No,Yes,Pass
5,57,57,38,9,No,Yes,Pass
1,69,63,37,7,No,Yes,Fail
8,78,37,36,8,No,No,Pass
5,100,88,65,5,Yes,No,Pass
5,94,78,47,9,Yes,Yes,Pass
7,95,46,32,4,No,No,Pass
4,59,89,57,7,Yes,Yes,Pass
6,92,74,99,7,Yes,Yes,Pass
4,83,98,73,9,No,No,Pass
3,75,61,50,9,Yes,No,Pass
7,90,73,57,6,Yes,No,Pass
8,98,94,83,8,No,Yes,Pass
4,52,37,83,6,Yes,Yes,Fail
2,55,72,94,6,No,No,Pass
3,54,30,50,8,Yes,Yes,Fail
1,54,80,42,4,No,No,Fail
8,96,53,86,6,Yes,Yes,Pass
3,72,53,78,6,Yes,No,Pass
7,98,46,83,7,No,No,Pass
5,58,34,39,8,No,Yes,Fail
5,84,49,82,5,No,No,Pass
7,69,50,73,4,No,No,Pass
9,98,87,76,4,Yes,Yes,Pass
5,91,60,82,8,Yes,No,Pass
1,84,40,75,9,Yes,Yes,Fail
1,99,81,42,9,No,No,Pass
2,67,44,66,7,Yes,Yes,Fail
6,66,36,53,7,Yes,No,Pass
9,73,57,31,8,No,No,Pass
8,52,80,43,7,No,No,Pass
5,81,87,39,4,Yes,No,Pass
1,84,34,64,4,No,Yes,Fail
7,87,34,54,5,Yes,Yes,Pass
5,62,37,32,9,Yes,Yes,Fail
6,96,93,46,8,No,Yes,Pass
7,74,39,41,6,Yes,Yes,Pass
3,58,67,83,9,No,Yes,Pass
3,53,37,53,6,No,Yes,Fail
5,63,54,58,5,Yes,No,Pass
6,86,95,72,5,Yes,No,Pass
9,83,79,54,7,Yes,No,Pass
5,60,96,89,5,No,No,Pass
1,90,78,94,5,Yes,Yes,Pass
4,52,65,57,6,No,Yes,Pass
5,77,97,45,7,No,Yes,Pass
5,78,70,76,5,Yes,No,Pass
7,58,91,87,9,No,Yes,Pass
4,52,39,56,5,Yes,No,Fail
1,74,50,82,7,Yes,Yes,Fail
5,83,65,71,8,Yes,Yes,Pass
7,61,41,88,7,Yes,Yes,Pass
6,91,31,76,6,Yes,Yes,Pass
5,58,42,63,8,Yes,No,Pass
4,64,82,66,9,Yes,No,Pass
2,89,61,35,4,No,Yes,Fail
4,74,45,36,7,Yes,No,Fail
3,54,61,54,6,No,Yes,Fail
1,60,61,62,9,No,Yes,Fail
8,83,40,84,8,No,Yes,Pass
5,73,39,87,9,Yes,Yes,Pass
4,64,44,36,7,No,No,Fail
8,87,46,86,5,No,Yes,Pass
7,57,69,41,7,Yes,Yes,Pass
2,54,47,45,4,Yes,No,Fail
1,97,84,72,7,No,Yes,Pass
4,75,54,36,8,Yes,No,Pass
8,67,88,80,8,Yes,Yes,Pass
2,55,51,61,7,Yes,Yes,Fail
3,86,59,37,8,Yes,Yes,Pass
1,97,73,74,5,No,Yes,Pass
1,62,61,88,9,Yes,Yes,Fail
3,77,80,33,7,Yes,Yes,Pass
5,54,75,96,5,Yes,No,Pass
3,62,50,58,9,No,Yes,Fail
1,66,61,58,9,No,No,Fail
1,99,68,57,5,Yes,No,Pass
8,89,41,73,6,Yes,Yes,Pass
2,94,76,33,7,No,No,Pass
3,81,47,38,9,Yes,Yes,Fail
2,78,50,34,9,Yes,No,Fail
3,100,42,85,8,No,Yes,Pass
7,52,50,79,9,Yes,No,Pass
1,89,37,44,5,Yes,No,Fail
8,83,75,61,9,No,Yes,Pass
2,89,36,57,6,No,No,Fail
3,76,52,51,7,Yes,Yes,Fail
9,62,51,46,7,No,Yes,Pass
7,94,51,88,9,Yes,Yes,Pass
4,82,58,100,4,Yes,Yes,Pass
5,55,42,86,4,Yes,Yes,Pass
2,73,31,55,5,No,No,Fail
8,68,58,54,4,No,No,Pass
4,65,81,39,5,Yes,No,Pass
9,89,56,74,8,Yes,Yes,Pass
5,77,79,40,5,No,No,Pass
9,82,52,82,4,No,No,Pass
4,97,73,97,9,No,No,Pass
5,90,51,57,8,Yes,No,Pass
9,62,72,94,4,No,No,Pass
8,92,66,78,5,No,Yes,Pass
3,94,90,76,6,Yes,Yes,Pass
1,74,85,81,7,Yes,No,Pass
3,91,32,83,4,Yes,Yes,Pass
4,85,92,89,5,No,Yes,Pass
2,76,48,86,8,Yes,No,Fail
1,87,52,76,4,Yes,No,Fail
7,56,58,60,4,Yes,Yes,Pass
8,54,59,75,7,Yes,No,Pass
7,92,68,55,5,No,Yes,Pass
5,94,54,34,6,Yes,Yes,Pass
1,100,37,81,8,No,No,Fail
7,80,87,83,5,No,Yes,Pass
7,72,45,62,8,No,Yes,Pass
9,91,30,79,4,Yes,Yes,Pass
3,59,34,67,7,No,No,Fail
9,81,32,56,7,Yes,No,Pass
1,92,94,44,9,Yes,No,Pass
1,79,33,90,6,Yes,No,Fail
4,88,93,50,7,No,Yes,Pass
9,80,39,75,4,Yes,No,Pass
6,67,50,98,6,Yes,No,Pass
3,85,75,35,5,Yes,No,Pass
1,51,56,67,7,No,No,Fail
4,63,95,91,6,No,Yes,Pass
9,62,70,91,4,No,Yes,Pass
3,78,42,75,9,Yes,Yes,Pass
9,61,38,42,8,No,No,Pass
7,88,65,32,8,Yes,No,Pass
4,51,87,35,4,Yes,Yes,Pass
3,81,83,37,4,No,No,Pass
5,62,41,73,8,Yes,No,Pass
5,95,43,62,9,No,Yes,Pass
3,76,63,79,6,Yes,Yes,Pass
9,98,82,40,8,No,No,Pass
4,90,49,57,4,Yes,No,Pass
5,66,45,99,7,Yes,No,Pass
4,89,99,70,5,Yes,Yes,Pass
5,80,85,45,9,Yes,Yes,Pass
7,83,87,97,9,Yes,Yes,Pass
9,73,33,77,7,No,Yes,Pass
7,94,33,85,7,Yes,No,Pass
5,84,49,93,4,No,Yes,Pass
7,97,39,88,8,No,Yes,Pass
5,55,53,91,6,No,No,Pass
3,68,55,40,9,Yes,No,Fail
7,79,66,47,9,Yes,No,Pass
2,56,83,48,7,Yes,Yes,Fail
9,59,50,84,8,No,No,Pass
1,90,67,55,9,Yes,No,Fail
6,81,75,35,6,Yes,Yes,Pass
7,83,33,33,7,No,Yes,Pass
8,77,89,58,6,No,No,Pass
9,64,86,88,8,No,Yes,Pass
2,79,74,46,9,No,No,Pass
2,86,49,72,5,No,No,Fail
5,78,46,95,9,No,Yes,Pass
5,71,100,63,8,Yes,No,Pass
6,53,33,37,9,No,Yes,Fail
3,69,43,42,9,Yes,Yes,Fail
8,81,32,37,4,Yes,Yes,Pass
1,85,87,94,9,Yes,No,Pass
6,99,84,72,9,No,Yes,Pass
4,53,33,68,6,Yes,Yes,Fail
1,76,53,88,5,No,No,Fail
7,66,63,73,6,No,No,Pass
9,61,59,38,6,Yes,No,Pass
4,71,48,66,7,No,No,Pass
4,66,60,65,4,Yes,Yes,Pass
6,59,89,57,6,Yes,Yes,Pass
3,50,89,71,8,No,Yes,Pass
6,71,48,72,8,Yes,No,Pass
7,75,78,71,9,Yes,No,Pass
3,67,92,95,7,Yes,Yes,Pass
7,99,51,84,4,No,No,Pass
3,63,53,77,4,Yes,No,Pass
2,96,59,51,9,No,Yes,Pass
4,78,87,56,8,No,Yes,Pass
8,61,60,96,5,Yes,No,Pass
9,85,93,42,7,Yes,No,Pass
7,84,48,74,9,No,No,Pass
1,61,77,39,7,No,Yes,Fail
3,56,74,38,8,Yes,Yes,Fail
9,78,84,83,8,Yes,Yes,Pass
1,60,84,56,5,No,Yes,Fail
9,82,47,63,5,No,Yes,Pass
8,55,92,30,4,No,No,Pass
1,96,76,61,7,No,No,Pass
6,64,86,100,7,No,No,Pass
5,81,74,96,8,Yes,Yes,Pass
6,100,62,49,4,No,Yes,Pass
5,60,46,64,9,No,Yes,Pass
6,72,99,46,7,Yes,No,Pass
5,75,33,47,4,Yes,Yes,Pass
5,83,49,74,4,No,Yes,Pass
4,95,76,82,8,No,No,Pass
3,83,44,97,4,Yes,Yes,Pass
3,78,99,94,5,No,No,Pass
4,53,76,30,5,No,Yes,Pass
9,66,38,87,6,Yes,Yes,Pass
2,84,45,55,8,No,No,Fail
9,62,98,49,9,Yes,No,Pass
1,90,90,39,6,Yes,No,Pass
1,88,39,88,5,Yes,No,Fail
5,64,79,70,6,Yes,No,Pass
6,78,32,34,8,No,No,Pass
6,78,99,94,8,Yes,Yes,Pass
3,60,80,46,4,No,Yes,Pass
7,81,48,51,7,No,No,Pass
9,51,71,70,4,No,Yes,Pass
8,96,64,97,8,No,No,Pass
6,63,75,98,5,No,Yes,Pass
8,69,55,40,9,Yes,No,Pass
5,71,98,85,5,Yes,Yes,Pass
8,60,93,80,4,Yes,Yes,Pass
4,76,66,50,9,Yes,Yes,Pass
8,52,78,55,8,No,Yes,Pass
2,66,50,48,5,Yes,Yes,Fail
5,93,93,89,8,No,No,Pass
9,77,34,100,9,No,No,Pass
4,78,99,76,9,Yes,No,Pass
6,70,33,100,5,Yes,Yes,Pass
1,96,68,55,8,Yes,No,Pass
9,65,64,69,6,Yes,Yes,Pass
1,86,30,34,8,No,Yes,Fail
5,69,53,50,9,No,Yes,Pass
4,55,86,33,8,Yes,No,Pass
3,68,99,52,4,No,Yes,Pass
6,54,70,44,6,No,No,Pass
2,52,83,37,7,No,No,Fail
3,50,75,70,4,Yes,Yes,Pass
5,87,89,48,7,No,Yes,Pass
9,64,89,75,5,Yes,No,Pass
2,83,86,57,7,Yes,No,Pass
8,84,60,97,8,No,No,Pass
2,98,53,44,7,No,No,Fail
5,74,65,66,9,Yes,No,Pass
7,73,59,30,4,No,No,Pass
8,61,53,96,4,No,Yes,Pass
1,67,59,53,7,Yes,No,Fail
6,64,36,56,4,Yes,No,Pass
1,93,64,69,9,Yes,No,Pass
2,65,84,92,4,Yes,No,Pass
1,76,43,90,7,No,Yes,Fail
5,57,39,65,6,No,Yes,Pass
9,95,45,53,6,Yes,No,Pass
6,74,83,53,5,Yes,No,Pass
1,66,99,33,4,Yes,No,Pass
1,78,73,96,7,No,Yes,Pass
2,57,74,63,4,Yes,Yes,Fail
9,64,85,86,8,No,Yes,Pass
3,76,86,78,9,Yes,Yes,Pass
1,95,50,82,4,Yes,Yes,Fail
5,99,97,52,4,Yes,Yes,Pass
7,56,79,98,6,No,No,Pass
6,52,62,82,9,No,Yes,Pass
1,78,36,91,7,No,Yes,Fail
5,93,99,70,4,Yes,No,Pass
5,73,44,86,6,No,Yes,Pass
6,52,61,89,5,No,No,Pass
3,69,49,83,9,Yes,Yes,Pass
5,95,44,99,6,Yes,No,Pass
7,64,77,86,6,No,No,Pass
5,74,100,39,6,No,No,Pass
5,79,50,69,4,No,No,Pass
5,63,71,36,4,No,No,Pass
3,56,55,67,5,Yes,Yes,Fail
1,66,43,90,8,Yes,Yes,Fail
5,93,86,32,8,Yes,No,Pass
9,69,66,80,8,No,No,Pass
1,85,87,76,9,No,No,Pass
3,58,50,97,9,Yes,Yes,Pass
4,87,98,67,5,Yes,No,Pass
1,97,32,65,9,No,No,Fail
1,71,66,70,8,No,No,Fail
8,51,78,98,8,Yes,No,Pass
2,73,48,42,6,Yes,Yes,Fail
8,57,41,87,9,Yes,No,Pass
7,60,90,79,4,No,No,Pass
2,62,70,59,4,No,Yes,Fail
6,66,62,91,6,No,No,Pass
6,57,79,54,6,No,No,Pass
3,70,97,56,6,No,Yes,Pass
2,67,100,80,4,No,Yes,Pass
1,79,62,86,8,Yes,Yes,Pass
6,67,53,76,6,Yes,No,Pass
5,95,90,68,5,No,No,Pass
9,96,90,45,6,Yes,Yes,Pass
1,80,57,51,7,No,Yes,Fail
7,87,87,83,6,Yes,Yes,Pass
5,81,72,50,4,No,No,Pass
5,60,70,45,9,Yes,No,Pass
2,94,68,88,6,Yes,Yes,Pass
3,74,78,60,9,No,No,Pass
7,82,46,71,7,No,Yes,Pass
6,87,99,61,5,Yes,No,Pass
2,90,99,88,9,Yes,No,Pass
6,57,94,63,8,No,No,Pass
2,60,34,38,6,Yes,No,Fail
2,71,31,40,7,No,Yes,Fail
2,100,51,39,7,No,No,Fail
3,73,86,46,9,Yes,No,Pass
2,90,95,97,5,No,Yes,Pass
4,66,45,77,4,Yes,No,Pass
9,61,80,81,6,Yes,Yes,Pass
6,95,68,54,7,No,Yes,Pass
1,81,69,50,5,Yes,No,Fail
8,64,67,94,8,No,No,Pass
7,65,89,92,7,No,Yes,Pass
3,71,88,80,5,No,Yes,Pass
1,77,39,65,4,Yes,Yes,Fail
5,69,93,95,4,No,No,Pass
4,82,92,44,7,Yes,Yes,Pass
8,59,78,68,7,No,Yes,Pass
1,89,93,99,9,No,Yes,Pass
1,81,61,30,6,No,No,Fail
4,99,36,52,5,Yes,Yes,Pass
8,82,50,68,7,Yes,No,Pass
5,51,49,86,6,No,No,Pass
2,82,55,63,9,No,Yes,Fail
6,82,97,70,6,Yes,No,Pass
5,90,44,42,7,Yes,Yes,Pass
2,62,43,99,4,Yes,No,Fail
3,79,56,35,5,No,No,Fail
9,82,69,81,5,Yes,Yes,Pass
7,62,87,32,4,No,Yes,Pass
7,75,57,92,7,Yes,Yes,Pass
6,71,55,78,5,No,No,Pass
8,88,92,76,7,No,No,Pass
4,51,95,84,9,No,Yes,Pass
8,87,54,93,7,Yes,Yes,Pass
4,88,32,94,6,Yes,No,Pass
8,75,73,96,4,Yes,No,Pass
9,95,71,44,7,No,No,Pass
3,99,35,61,9,No,Yes,Pass
3,64,68,97,8,Yes,No,Pass
2,83,81,47,4,No,Yes,Pass
3,91,52,72,5,No,No,Pass
3,93,79,64,6,No,No,Pass
5,98,72,87,5,Yes,Yes,Pass
5,89,48,62,9,No,Yes,Pass
2,60,98,43,9,Yes,Yes,Pass
6,52,80,63,5,Yes,No,Pass
5,55,40,90,4,Yes,No,Pass
6,58,41,33,5,Yes,No,Pass
1,55,37,88,7,Yes,Yes,Fail
5,58,53,58,5,No,No,Pass
9,88,70,35,6,Yes,Yes,Pass
2,80,65,78,6,Yes,Yes,Pass
1,81,84,69,8,Yes,Yes,Pass
9,90,38,94,6,No,No,Pass
9,99,76,98,5,No,No,Pass
9,61,44,56,6,No,Yes,Pass
6,57,77,35,4,No,No,Pass
8,57,71,42,6,Yes,Yes,Pass
1,99,89,93,7,Yes,Yes,Pass
4,77,99,91,4,No,No,Pass
1,69,41,48,8,No,Yes,Fail
8,96,31,72,7,No,Yes,Pass
1,56,36,49,5,No,No,Fail
3,60,32,97,5,Yes,Yes,Fail
4,69,32,73,5,No,Yes,Fail
8,65,56,52,7,No,Yes,Pass
6,53,69,31,7,No,Yes,Pass
7,55,62,51,7,No,Yes,Pass
